num_processes,cycles,mesh_elements,dofs,wallclock_time,solver_time,fgmres_iterations
1,0,512,11631,1.37,0.507,21
1,1,1604,45676,7.24,3.73,22
1,2,5692,171346,31.4,17.8,22
2,0,512,11631,1.03,0.384,21
2,1,1688,47860,4.57,2.28,22
2,2,5958,178296,17.7,9.58,22
4,0,512,11631,0.707,0.234,21
4,1,1688,47860,2.48,1.17,22
4,2,5958,178458,9.36,4.96,22
6,0,512,11631,0.564,0.196,21
6,1,1681,47694,1.89,0.898,22
6,2,5944,177898,6.94,3.69,22
8,0,512,11631,0.469,0.155,21
8,1,1688,47860,1.59,0.751,22
8,2,5958,178458,5.59,2.95,22
10,0,512,11631,0.477,0.156,21
10,1,1681,47694,1.35,0.626,22
10,2,5944,177898,4.7,2.46,22
12,0,512,11631,0.448,0.147,21
12,1,1674,47528,1.21,0.56,22
12,2,5930,177662,4.1,2.16,22
14,0,512,11631,0.434,0.136,21
14,1,1660,47196,2.08,0.497,22
14,2,5748,172974,3.58,1.89,22
16,0,512,11631,0.419,0.121,21
16,1,1688,47860,1.02,0.46,22
16,2,5958,178458,3.55,1.91,22
32,0,512,11631,0.436,0.126,21
32,1,1660,47196,0.811,0.349,22
32,2,5734,172814,2.41,1.32,22
